"mean_pl","var_pl","mean_iartime","var_iartime","max_length","min_length","num_qosd","num_qosnull","num_other","num_up","num_down","type_of_traffic"
2119.4353941773,1138923.01946674,0.00476050098167539,0.00485364982732571,3245,86,3033,24,0,688,2369,"Youtube"
2245.80483383686,945279.130227458,0.00419450317316412,0.00440543824954254,2906,86,3285,25,0,567,2743,"Youtube"
2167.04932301741,1048244.23910144,0.00434187229925831,0.00394157902389654,3203,86,3073,28,1,611,2491,"Youtube"
2203.73829130211,1018945.02209582,0.00343214671814672,0.00311480791744913,3227,86,3858,28,0,743,3143,"Youtube"
2018.07256819352,1262593.98185782,0.00713709835221419,0.00639162393711603,3206,86,1901,34,8,489,1454,"Youtube"
579.607142857143,699394.884889015,0.0525555537848603,0.0346418647192576,2710,86,214,38,0,146,106,"Youtube"
2126.66019672131,1087960.39147032,0.0018576879590766,0.00126365299605097,3254,86,7570,47,8,1677,5948,"Youtube"
2208.65714757346,1002542.25571991,0.00230009113422486,0.00140834453958218,2918,86,6011,37,10,1123,4935,"Youtube"
2080.32282084976,1179413.26690668,0.00602839219982467,0.00594624966101625,3050,86,2255,27,1,523,1760,"Youtube"
1982.71034482759,1258205.10030699,0.00904941338854385,0.00624564719176624,2998,86,1416,34,0,357,1093,"Youtube"
2043.93329596413,1224243.00227831,0.00733716152551882,0.0049449690903396,3209,86,1742,42,0,407,1377,"Youtube"
2071.6905766526,1190602.315168,0.00994493103448269,0.00926351402519549,2910,86,1391,31,0,320,1102,"Youtube"
2100.66265060241,1162373.79767946,0.0109665530546624,0.01120697815324,2906,86,1221,24,0,274,971,"Youtube"
2031.18479307026,1244898.4243928,0.0132781724470135,0.0119299470412693,2710,86,1003,36,0,251,788,"Youtube"
1891.97222222222,1490577.73093527,0.00742417583664212,0.00546544224493847,3140,86,1719,37,8,510,1254,"Youtube"
2147.08560539431,1070316.15278687,0.00415382756598239,0.00333438727037789,3136,86,3355,42,14,732,2679,"Youtube"
1975.07590467785,1293045.68857968,0.0124738842756184,0.00888050376671096,2942,86,1096,34,3,280,853,"Youtube"
2025.3738074588,1246720.08323697,0.0120180026041666,0.0129149831432038,3130,86,1127,26,0,274,879,"Youtube"
2124.80031529164,1112855.51741315,0.00711782912723453,0.00656699679644894,2838,86,1867,36,0,393,1510,"Youtube"
2159.2,1081984.15259467,0.00610722159887788,0.00691064350846083,2906,86,2115,25,0,438,1702,"Youtube"
2060.65211166786,1220819.46198157,0.00937230945558741,0.00772191163355709,3103,86,1366,31,0,325,1072,"Youtube"
2039.36336515513,1224740.4583347,0.00780922686567166,0.0079622658545659,2992,86,1654,22,0,407,1269,"Youtube"
1885.89428918591,1366376.70292355,0.0159052725060827,0.0140849918864542,2710,86,785,30,8,243,580,"Youtube"
2132.08499643621,1103757.05372602,0.00233274710390306,0.00171359004312303,3230,86,5561,51,0,1216,4396,"Youtube"
1974.35707790239,1316921.19871505,0.00440076925409339,0.00336560076265556,2906,86,3265,33,1,919,2380,"Youtube"
1823.44950331126,1397038.96016545,0.0107553272576635,0.0111576239644835,3140,86,1193,15,0,361,847,"Youtube"
1977.87142022209,1301992.92848681,0.00873337426900586,0.00743101534036981,2986,86,1676,35,0,448,1263,"Youtube"
2207.64621016365,1011741.35897551,0.00322225931509798,0.00259080224482632,2906,86,4608,36,0,879,3765,"Youtube"
2199.30328992461,1017708.5226563,0.00510500685635931,0.00573063959074691,2912,86,2893,25,0,556,2362,"Youtube"
