"number_of_packets","mean_pl","var_pl","mean_iartime","var_iartime","max_length","min_length","perc_qosd","perc_qosnull","perc_other","perc_sent","perc_rec","type_of_traffic"
7205,1121.08119361554,465694.267004683,0.00138574851360355,3.0464968313961e-05,1614,86,0.99764052741152,0.00235947258848022,0,0.337820957668286,0.662179042331714,"Netflix"
5234,1050.01299197554,496395.124234005,0.00190987805828397,4.19891738446806e-05,1614,86,0.99961788307222,0.00019105846388995,0.00019105846388995,0.38612915552159,0.61387084447841,"Netflix"
9458,1028.91266652569,502147.946903093,0.00092574606904938,2.74857223616413e-05,1614,86,0.999259885810954,0.000528652992175936,0.000211461196870374,0.399767392683443,0.600232607316557,"Netflix"
46,185.45652173913,2981.80917874396,0.124975886822222,0.159538690919335,267,86,0.869565217391304,0.130434782608696,0,0.717391304347826,0.282608695652174,"Netflix"
1312,1025.21493902439,501765.093354077,0.00738075245308923,0.0107301419984932,1614,86,0.993140243902439,0.00685975609756098,0,0.386432926829268,0.613567073170732,"Netflix"
6149,1037.9817856562,495295.783662979,0.00162303412394275,0.00105791113863835,1614,86,0.998048463164742,0.00146365262644332,0.000487884208814441,0.394535696861278,0.605464303138722,"Netflix"
18351,1099.11596098305,473700.778377931,0.000544524591389644,7.23279536368177e-06,1614,154,0.999891014113672,0,0.000108985886327721,0.354258623508256,0.645741376491744,"Netflix"
16260,1205.15670356704,417808.885461548,0.00050790687022572,8.71962324026184e-06,1614,86,0.996740467404674,0.0028290282902829,0.00043050430504305,0.279520295202952,0.720479704797048,"Netflix"
13,193,7141,0.46201655308333,1.75949323996959,438,86,0.769230769230769,0.153846153846154,0.0769230769230769,0.692307692307692,0.307692307692308,"Netflix"
1264,1070.61313291139,485131.472543146,0.00491195115597786,0.00417688943719361,1614,86,0.992879746835443,0.00237341772151899,0.00474683544303797,0.373417721518987,0.626582278481013,"Netflix"
7184,1224.2918986637,404735.554627384,0.000891511748155367,0.000561401126886205,1614,86,0.998608017817372,0.000695991091314031,0.000695991091314031,0.268234966592428,0.731765033407572,"Netflix"
11,199.545454545455,8110.07272727273,0.441829437999996,0.403746673022521,267,86,0.545454545454545,0.363636363636364,0.0909090909090909,1,0,"Netflix"
1016,1234.44291338583,401578.66274776,0.00432550278325124,0.0103928616920107,1614,86,0.994094488188976,0.00590551181102362,0,0.260826771653543,0.739173228346457,"Netflix"
27,214.518518518519,3658.7207977208,0.334154119423077,0.73952728221587,267,86,0.666666666666667,0.111111111111111,0.222222222222222,0.925925925925926,0.0740740740740741,"Netflix"
