"number_of_packets","mean_pl","var_pl","mean_iartime","var_iartime","max_length","min_length","perc_qosd","perc_qosnull","perc_other","perc_sent","perc_rec","type_of_traffic"
1685,1059.49080118694,392097.846263313,0.00574939642042756,0.0036576709589578,1506,86,0.991097922848665,0.00474777448071217,0.00415430267062315,0.331157270029674,0.668842729970326,"Spotify"
44,188.590909090909,4835.1310782241,0.223093797883721,0.141359782660041,267,86,0.704545454545455,0.25,0.0454545454545455,0.954545454545455,0.0454545454545455,"Spotify"
208,300.480769230769,115712.511705686,0.0477256119999999,0.0207899822964658,1584,86,0.875,0.125,0,0.913461538461538,0.0865384615384615,"Spotify"
305,427.816393442623,184606.354335634,0.0313099349013157,0.0136890781935153,1594,86,0.901639344262295,0.0983606557377049,0,0.731147540983607,0.268852459016393,"Spotify"
155,219.78064516129,45597.3281943863,0.0576090703636363,0.0164583308024838,1546,86,0.780645161290323,0.212903225806452,0.00645161290322581,0.819354838709677,0.180645161290323,"Spotify"
88,179.420454545455,33279.3269331244,0.108434641367816,0.0538530138702712,1584,86,0.579545454545455,0.420454545454545,0,0.852272727272727,0.147727272727273,"Spotify"
125,184.704,16978.7423225806,0.074724397951613,0.0366381330912347,1124,86,0.736,0.256,0.008,0.832,0.168,"Spotify"
79,328.367088607595,161180.594287569,0.107724703205128,0.0741334334873892,1584,86,0.848101265822785,0.139240506329114,0.0126582278481013,0.721518987341772,0.278481012658228,"Spotify"
85,286.188235294118,122442.630812325,0.107444777190476,0.0727509061378812,1597,86,0.8,0.152941176470588,0.0470588235294118,0.729411764705882,0.270588235294118,"Spotify"
5,132.6,6151.8,0.819549497249994,1.24795127811659,267,86,0.4,0.6,0,1,0,"Spotify"
2030,840.784729064039,436215.612088024,0.00339461005815673,0.00138718155542562,1584,86,0.996059113300493,0.00246305418719212,0.00147783251231527,0.471428571428571,0.528571428571429,"Spotify"
53,410.132075471698,212608.386066763,0.065602113288461,0.033249606790185,1584,86,0.924528301886792,0.0754716981132075,0,0.547169811320755,0.452830188679245,"Spotify"
1743,830.52380952381,434080.696189383,0.00529085566016074,0.0012677648459764,1614,86,0.982214572576018,0.0172117039586919,0.00057372346528973,0.44750430292599,0.55249569707401,"Spotify"
1914,648.126436781609,382474.038370256,0.00513395240982749,0.00107096896945502,1584,86,0.994775339602926,0.00522466039707419,0,0.602403343782654,0.397596656217346,"Spotify"
4234,806.137931034483,438722.776623736,0.00231703103732578,8.76991074839454e-05,1614,86,0.997638167217761,0.00236183278223902,0,0.51511572980633,0.48488427019367,"Spotify"
2118,730.356468366383,432774.709431452,0.0029498058488427,0.000126801569787797,1594,86,0.999527856468366,0.000472143531633617,0,0.579792256846081,0.420207743153919,"Spotify"
19,163,1654.66666666667,0.124098095944444,0.0376017678238236,251,86,0.842105263157895,0.157894736842105,0,0.736842105263158,0.263157894736842,"Spotify"
504,735.5,409113.58250497,0.019800272640159,0.0321398055014282,1594,86,0.984126984126984,0.0158730158730159,0,0.478174603174603,0.521825396825397,"Spotify"
78,249.75641025641,47490.5762570763,0.118173528870129,0.126526940653724,1392,86,0.91025641025641,0.0641025641025641,0.0256410256410256,0.756410256410256,0.243589743589744,"Spotify"
81,569.777777777778,296810.975,0.12276493905,0.112036610616166,1392,86,0.901234567901235,0.0864197530864197,0.0123456790123457,0.703703703703704,0.296296296296296,"Spotify"
79,233.012658227848,63384.3716325868,0.107661763410256,0.0558798230456991,1584,86,0.721518987341772,0.265822784810127,0.0126582278481013,0.848101265822785,0.151898734177215,"Spotify"
