"No.","Time","Source","Destination","Length","RSSI","Protocol","Info"
"28797","257.302339","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","150","-30 dBm","802.11","QoS Data, SN=944, FN=0, Flags=.p.....TC"
"28799","257.302788","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","158","-54 dBm","802.11","QoS Data, SN=3765, FN=0, Flags=.p....F.C"
"29110","261.601444","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","225","-29 dBm","802.11","QoS Data, SN=945, FN=0, Flags=.p.....TC"
"29112","261.608708","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","164","-52 dBm","802.11","QoS Data, SN=2964, FN=0, Flags=.p....F.C"
"29116","261.616188","IntelCor_d2:f7:08","58:2f:f7:ba:ef:01","260","-29 dBm","802.11","QoS Data, SN=946, FN=0, Flags=.p.....TC"
"29118","261.618532","Sagemcom_ba:ef:01","a4:42:3b:d2:f7:08","268","-52 dBm","802.11","QoS Data, SN=2965, FN=0, Flags=.p....F.C"
"29124","261.663089","IntelCor_d2:f7:08","58:2f:f7:ba:ef:01","150","-29 dBm","802.11","QoS Data, SN=947, FN=0, Flags=.p.....TC"
"29130","261.731691","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","230","-52 dBm","802.11","QoS Data, SN=2966, FN=0, Flags=.p....F.C"
"29135","261.772378","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","150","-29 dBm","802.11","QoS Data, SN=948, FN=0, Flags=.p.....TC"
"29163","262.272504","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","260","-28 dBm","802.11","QoS Data, SN=949, FN=0, Flags=.p.....TC"
"29165","262.273596","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","268","-52 dBm","802.11","QoS Data, SN=3769, FN=0, Flags=.p....F.C"
"29168","262.274769","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","268","-52 dBm","802.11","QoS Data, SN=3769, FN=0, Flags=.p..R.F.C"
"29170","262.275757","Google_73:3c:d4","a4:42:3b:d2:f7:08","268","-63 dBm","802.11","QoS Data, SN=1709, FN=0, Flags=.p.....TC"
"29172","262.276790","Google_73:3c:d4","a4:42:3b:d2:f7:08","268","-50 dBm","802.11","QoS Data, SN=2967, FN=0, Flags=.p....F.C"
"29181","262.318939","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","150","-28 dBm","802.11","QoS Data, SN=950, FN=0, Flags=.p.....TC"
"29183","262.319448","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","158","-51 dBm","802.11","QoS Data, SN=3770, FN=0, Flags=.p....F.C"
"29321","264.631960","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","170","-29 dBm","802.11","QoS Data, SN=951, FN=0, Flags=.p.....TC"
"29327","264.635418","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","178","-48 dBm","802.11","QoS Data, SN=2968, FN=0, Flags=.p....F.C"
"29331","264.636243","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","170","-29 dBm","802.11","QoS Data, SN=952, FN=0, Flags=.p.....TC"
"29375","265.305041","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","151","-29 dBm","802.11","QoS Data, SN=953, FN=0, Flags=.p.....TC"
"29380","265.310422","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","164","-48 dBm","802.11","QoS Data, SN=2969, FN=0, Flags=.p....F.C"
"29429","265.932971","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","479","-29 dBm","802.11","QoS Data, SN=954, FN=0, Flags=.p.....TC"
"29433","265.967524","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","164","-50 dBm","802.11","QoS Data, SN=2970, FN=0, Flags=.p....F.C"
"29552","266.385766","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","219","-29 dBm","802.11","QoS Data, SN=955, FN=0, Flags=.p.....TC"
"29560","266.421316","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","227","-48 dBm","802.11","QoS Data, SN=2971, FN=0, Flags=.p....F.C"
"29570","266.463755","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","150","-29 dBm","802.11","QoS Data, SN=956, FN=0, Flags=.p.....TC"
