"No.","Time","Source","Destination","Length","RSSI","Protocol","Info"
"2332","35.487201443","Technico_f7:c2:e1","88:9f:6f:53:9b:d4","86","-53 dBm","802.11","QoS Null function (No data), SN=1276, FN=0, Flags=......F.C"
"2347","35.492588846","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","311","-51 dBm","802.11","QoS Data, SN=1718, FN=0, Flags=.p..R.F.C"
"2351","35.493629991","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","222","-52 dBm","802.11","QoS Data, SN=1719, FN=0, Flags=.p..R.F.C"
"2353","35.494294482","Technico_f7:c2:e1","88:9f:6f:53:9b:d4","86","-54 dBm","802.11","QoS Null function (No data), SN=1277, FN=0, Flags=......F.C"
"2363","35.496839007","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","1374","-51 dBm","802.11","QoS Data, SN=1717, FN=0, Flags=.p..R.F.C"
"2367","35.498132945","Technico_f7:c2:e1","88:9f:6f:53:9b:d4","86","-53 dBm","802.11","QoS Null function (No data), SN=1278, FN=0, Flags=......F.C"
"2377","35.500514377","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","311","-51 dBm","802.11","QoS Data, SN=1718, FN=0, Flags=.p..R.F.C"
"2378","35.501249535","Technico_f7:c2:e1","88:9f:6f:53:9b:d4","86","-52 dBm","802.11","QoS Null function (No data), SN=1279, FN=0, Flags=......F.C"
"2382","35.504038718","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","1374","-51 dBm","802.11","QoS Data, SN=1717, FN=0, Flags=.p..R.F.C"
"2389","35.509081070","Technico_f7:c2:e0","88:9f:6f:53:9b:d4","311","-51 dBm","802.11","QoS Data, SN=1718, FN=0, Flags=.p..R.F.C"
"2391","35.509773958","Technico_f7:c2:e1","88:9f:6f:53:9b:d4","86","-53 dBm","802.11","QoS Null function (No data), SN=1281, FN=0, Flags=......F.C"
"2393","35.511086578","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","1394","-32 dBm","802.11","QoS Data, SN=920, FN=0, Flags=.p..R..TC"
"2394","35.511093060","SamsungE_53:9b:d4","10:13:31:f7:c2:e0","1374","-32 dBm","802.11","QoS Data, SN=921, FN=0, Flags=.p..R..TC"
