"No.","Time","Source","Destination","Length","RSSI","Protocol","Info"
"168618","1013.611129","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","1179","-26 dBm","802.11","QoS Data, SN=2435, FN=0, Flags=.p.....TC"
"168621","1013.611408","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","1179","-25 dBm","802.11","QoS Data, SN=2435, FN=0, Flags=.p.....TC"
"168625","1013.611844","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","979","-26 dBm","802.11","QoS Data, SN=2436, FN=0, Flags=.p.....TC"
"168626","1013.611851","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","963","-26 dBm","802.11","QoS Data, SN=2437, FN=0, Flags=.p.....TC"
"168627","1013.611857","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","979","-26 dBm","802.11","QoS Data, SN=2438, FN=0, Flags=.p.....TC"
"168630","1013.612270","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","979","-25 dBm","802.11","QoS Data, SN=2436, FN=0, Flags=.p.....TC"
"168631","1013.612409","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","963","-25 dBm","802.11","QoS Data, SN=2437, FN=0, Flags=.p.....TC"
"168632","1013.612423","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","979","-25 dBm","802.11","QoS Data, SN=2438, FN=0, Flags=.p.....TC"
"168634","1013.622432","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","1598","-51 dBm","802.11","QoS Data, SN=2044, FN=0, Flags=.p....F.C"
"168636","1013.623661","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","1459","-51 dBm","802.11","QoS Data, SN=2045, FN=0, Flags=.p....F.C"
"168639","1013.624707","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","1459","-51 dBm","802.11","QoS Data, SN=2045, FN=0, Flags=.p..R.F.C"
"168642","1013.625890","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","1459","-51 dBm","802.11","QoS Data, SN=2045, FN=0, Flags=.p..R.F.C"
"168646","1013.627865","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","1459","-51 dBm","802.11","QoS Data, SN=2045, FN=0, Flags=.p..R.F.C"
"168651","1013.628383","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","150","-26 dBm","802.11","QoS Data, SN=2439, FN=0, Flags=.p.....TC"
"168653","1013.632410","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","1219","-51 dBm","802.11","QoS Data, SN=2046, FN=0, Flags=.p....F.C"
"168655","1013.633997","","a4:42:3b:d2:f7:08","2273","-51 dBm","802.11","QoS Data, SN=2047, FN=0, Flags=.p....F.C"
"168656","1013.634010","","a4:42:3b:d2:f7:08","3116","-51 dBm","802.11","QoS Data, SN=2048, FN=0, Flags=.p....F.C"
"168657","1013.634027","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","323","-51 dBm","802.11","QoS Data, SN=2049, FN=0, Flags=.p....F.C"
"168661","1013.634305","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","158","-26 dBm","802.11","QoS Data, SN=2440, FN=0, Flags=.p.....TC"
"168662","1013.634314","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","158","-26 dBm","802.11","QoS Data, SN=2441, FN=0, Flags=.p.....TC"
"168665","1013.668903","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","164","-51 dBm","802.11","QoS Data, SN=2050, FN=0, Flags=.p....F.C"
"168667","1013.671276","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","164","-51 dBm","802.11","QoS Data, SN=2051, FN=0, Flags=.p....F.C"
"168673","1013.681039","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","1139","-51 dBm","802.11","QoS Data, SN=2052, FN=0, Flags=.p....F.C"
"168677","1013.681257","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","158","-26 dBm","802.11","QoS Data, SN=2442, FN=0, Flags=.p.....TC"
"168678","1013.681266","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","158","-26 dBm","802.11","QoS Data, SN=2443, FN=0, Flags=.p.....TC"
"168680","1013.683133","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","1123","-51 dBm","802.11","QoS Data, SN=2053, FN=0, Flags=.p....F.C"
"168681","1013.684259","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","1123","-51 dBm","802.11","QoS Data, SN=2053, FN=0, Flags=.p..R.F.C"
"168688","1013.730142","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","158","-26 dBm","802.11","QoS Data, SN=2444, FN=0, Flags=.p.....TC"
"168689","1013.730146","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","158","-26 dBm","802.11","QoS Data, SN=2445, FN=0, Flags=.p.....TC"
"168703","1013.854025","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","351","-26 dBm","802.11","QoS Data, SN=2446, FN=0, Flags=.p.....TC"
"168719","1013.937929","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","164","-50 dBm","802.11","QoS Data, SN=2054, FN=0, Flags=.p....F.C"
"168721","1013.945295","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","247","-51 dBm","802.11","QoS Data, SN=2055, FN=0, Flags=.p....F.C"
"168728","1013.993147","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","150","-26 dBm","802.11","QoS Data, SN=2447, FN=0, Flags=.p.....TC"
"168788","1014.389812","IntelCor_d2:f7:08","58:2f:f7:ba:ef:01","260","-26 dBm","802.11","QoS Data, SN=2448, FN=0, Flags=.p.....TC"
"168790","1014.391752","Sagemcom_ba:ef:01","a4:42:3b:d2:f7:08","268","-51 dBm","802.11","QoS Data, SN=2056, FN=0, Flags=.p....F.C"
"168796","1014.436250","IntelCor_d2:f7:08","58:2f:f7:ba:ef:01","150","-26 dBm","802.11","QoS Data, SN=2449, FN=0, Flags=.p.....TC"
"168892","1015.314153","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","260","-25 dBm","802.11","QoS Data, SN=2450, FN=0, Flags=.p.....TC"
"168894","1015.315188","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","268","-52 dBm","802.11","QoS Data, SN=4008, FN=0, Flags=.p....F.C"
"168896","1015.315996","Google_73:3c:d4","a4:42:3b:d2:f7:08","268","-67 dBm","802.11","QoS Data, SN=1976, FN=0, Flags=.p.....TC"
"168898","1015.317332","Google_73:3c:d4","a4:42:3b:d2:f7:08","268","-51 dBm","802.11","QoS Data, SN=2057, FN=0, Flags=.p....F.C"
"168906","1015.360582","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","150","-25 dBm","802.11","QoS Data, SN=2451, FN=0, Flags=.p.....TC"
"168908","1015.361470","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","158","-52 dBm","802.11","QoS Data, SN=4009, FN=0, Flags=.p....F.C"
"168950","1015.956938","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","271","-26 dBm","802.11","QoS Data, SN=2452, FN=0, Flags=.p.....TC"
"168961","1015.994153","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","164","-50 dBm","802.11","QoS Data, SN=2058, FN=0, Flags=.p....F.C"
"169016","1016.747305","IntelCor_d2:f7:08","58:2f:f7:ba:ef:01","260","-26 dBm","802.11","QoS Data, SN=2453, FN=0, Flags=.p.....TC"
"169018","1016.749336","Sagemcom_ba:ef:01","a4:42:3b:d2:f7:08","268","-51 dBm","802.11","QoS Data, SN=2059, FN=0, Flags=.p....F.C"
"169026","1016.778356","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","260","-26 dBm","802.11","QoS Data, SN=2454, FN=0, Flags=.p.....TC"
"169028","1016.779268","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","268","-52 dBm","802.11","QoS Data, SN=4010, FN=0, Flags=.p....F.C"
"169030","1016.780482","Google_73:3c:d4","a4:42:3b:d2:f7:08","268","-67 dBm","802.11","QoS Data, SN=1977, FN=0, Flags=.p.....TC"
"169032","1016.781572","Google_73:3c:d4","a4:42:3b:d2:f7:08","268","-51 dBm","802.11","QoS Data, SN=2060, FN=0, Flags=.p....F.C"
"169036","1016.793808","IntelCor_d2:f7:08","58:2f:f7:ba:ef:01","150","-26 dBm","802.11","QoS Data, SN=2455, FN=0, Flags=.p.....TC"
"169039","1016.802818","AVMAudio_dc:3a:e4","a4:42:3b:d2:f7:08","519","-51 dBm","802.11","QoS Data, SN=2061, FN=0, Flags=.p....F.C"
"169043","1016.819519","IntelCor_d2:f7:08","44:4e:6d:dc:3a:e4","447","-26 dBm","802.11","QoS Data, SN=2456, FN=0, Flags=.p.....TC"
"169047","1016.824793","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","150","-26 dBm","802.11","QoS Data, SN=2457, FN=0, Flags=.p.....TC"
"169049","1016.825237","IntelCor_d2:f7:08","00:f6:20:73:3c:d4","158","-52 dBm","802.11","QoS Data, SN=4011, FN=0, Flags=.p....F.C"
